DateTime,Equity
13-05-08 15:30:10,29682.83
13-05-08 22:00:16,29679.75
13-05-09 15:30:10,29670.37
13-05-09 22:00:16,29678.77
13-05-10 15:30:10,29698.66
13-05-10 22:00:16,29789.39
13-05-13 15:30:11,29785.33
13-05-13 22:00:16,29773.52
13-05-14 15:30:11,29753.82
13-05-14 22:00:16,29802.84
13-05-15 15:30:11,29784.31
13-05-15 22:00:16,29756.03
13-05-16 15:30:10,29773.84
13-05-16 22:00:16,29756.26
13-05-17 15:30:11,29760.68
13-05-17 22:00:16,29819.89
13-05-20 15:30:36,29819.71
13-05-20 22:00:15,29821.26
13-05-21 15:30:11,29809.0
13-05-21 22:00:16,29780.52
13-05-22 15:30:10,29678.01
13-05-22 22:00:16,29792.65
13-05-23 15:30:10,29792.14
13-05-23 22:00:16,29746.15
13-05-24 15:30:10,29763.46
13-05-24 22:00:15,29761.61
13-05-28 15:30:15,29762.63
13-05-28 22:00:20,29729.43
13-05-29 15:30:46,29726.33
13-05-29 22:00:16,29759.11
13-05-30 15:30:11,29670.81
13-05-30 22:00:16,29870.68
13-05-31 15:30:10,29810.65
13-06-03 15:30:10,29790.44
13-06-03 22:00:16,29822.37
13-06-04 15:30:10,29796.21
13-06-04 22:00:15,29849.15
13-06-06 15:30:09,29895.18
13-06-06 22:00:16,29827.72
13-06-07 15:30:10,29842.18
13-06-07 22:00:16,29864.93
13-06-10 15:30:11,29847.59
13-06-10 22:00:16,29828.11
13-06-11 15:30:10,29818.22
13-06-11 22:00:16,29838.81
13-06-12 15:30:11,29813.85
13-06-12 22:00:16,29897.49
13-06-13 15:30:11,29901.85
13-06-13 22:00:16,29892.72
13-06-14 15:30:10,29890.0
13-06-14 22:00:16,29839.83
13-06-17 15:30:13,29749.33
13-06-17 22:00:16,29844.44
13-06-18 15:30:10,29846.98
13-06-18 22:00:15,29864.55
13-06-19 15:30:10,29871.48
13-06-19 22:00:16,29847.37
13-06-20 15:30:10,29852.22
13-06-20 22:00:16,29906.06
13-06-21 15:30:10,29881.07
13-06-21 22:00:16,29920.33
13-06-24 15:30:13,29953.34
13-06-24 22:00:19,29838.84
13-06-25 15:30:13,29795.29
13-06-25 22:00:16,29750.88
13-06-26 15:30:10,29740.94
13-06-26 22:00:16,29669.36
13-06-27 15:30:09,29768.1
13-06-27 22:00:15,29733.89
13-06-28 15:30:10,29752.27
13-06-28 22:00:16,29718.29
13-07-01 15:30:12,29660.89
13-07-01 22:00:16,29649.16
13-07-02 15:30:10,29663.36
13-07-02 22:00:16,29644.84
13-07-03 15:30:11,29664.81
13-07-03 22:00:16,29640.13
13-07-05 15:30:10,29595.94
13-07-05 22:00:16,29547.19
13-07-08 15:30:11,29546.18
13-07-08 22:00:16,29573.29
13-07-09 15:30:10,29569.21
13-07-09 22:00:16,29567.82
13-07-10 15:30:09,29581.05
13-07-10 22:00:16,29499.78
13-07-11 15:30:10,29460.17
13-07-11 22:00:15,29557.71
13-07-12 15:30:10,29546.99
13-07-12 22:00:16,29509.68
13-07-15 15:30:13,29424.52
13-07-15 22:00:19,29474.85
13-07-16 15:30:10,29475.9
13-07-16 22:00:16,29450.15
13-07-17 15:30:10,29415.39
13-07-17 22:00:16,29366.05
13-07-18 15:30:10,29407.69
13-07-18 22:00:16,29292.1
13-07-19 15:30:10,29370.48
13-07-19 22:00:16,29200.37
13-07-22 15:30:13,29221.46
13-07-22 22:00:19,29176.62
13-07-23 15:30:14,29134.9
13-07-23 22:00:20,29222.63
13-07-24 15:30:10,29243.34
13-07-24 22:00:16,29140.36
13-07-25 15:30:10,29175.44
13-07-25 22:00:16,29311.02
13-07-26 15:30:10,29308.17
13-07-26 22:00:15,29369.66
13-07-29 15:30:12,29376.14
13-07-29 22:00:18,29358.41
13-07-30 15:30:10,29579.72
13-07-30 22:00:16,29684.89
13-07-31 15:30:11,29696.7
13-07-31 22:00:16,29708.54
13-08-01 15:30:10,29688.57
13-08-01 22:00:16,29747.07
13-08-02 15:30:11,29751.8
13-08-02 22:00:16,29686.26
13-08-05 15:30:13,29713.41
13-08-05 22:00:18,29636.53
13-08-06 15:34:09,29617.15
13-08-06 22:00:15,29644.66
13-08-07 15:30:09,29649.43
13-08-07 22:00:15,29582.22
13-08-08 15:30:11,29602.28
13-08-08 22:00:16,29654.07
13-08-09 15:30:10,29635.28
13-08-09 22:00:16,29600.94
13-08-12 15:30:13,29590.73
13-08-12 22:00:19,29632.94
13-08-13 15:30:10,29661.19
13-08-13 22:00:16,29584.6
13-08-14 15:30:10,29551.27
13-08-14 22:00:16,29538.76
13-08-15 15:30:09,29505.14
13-08-15 22:00:15,29686.75
13-08-16 15:30:05,29491.62
13-08-16 22:00:16,29537.91
13-08-19 15:30:11,29581.53
13-08-19 22:00:17,29608.07
13-08-20 15:30:10,29604.9
13-08-20 22:00:15,29554.44
13-08-21 15:30:10,29547.1
13-08-21 22:00:16,29574.67
13-08-22 15:30:10,29556.21
13-08-22 22:00:15,29525.05
13-08-23 15:30:11,29532.85
13-08-23 22:00:16,29533.42
13-08-26 15:30:10,29551.5
13-08-26 22:00:16,29590.55
13-08-27 15:30:11,29640.19
13-08-27 22:00:16,29748.5
13-08-28 15:30:10,29784.2
13-08-28 22:00:16,29749.34
13-08-29 15:30:10,29750.08
13-08-29 22:00:16,29775.31
13-08-30 15:30:10,29773.39
13-08-30 22:00:16,29810.92
13-09-03 15:30:10,29840.65
13-09-03 22:00:16,29740.52
13-09-04 15:30:11,29741.78
13-09-04 22:00:16,29715.93
13-09-05 15:30:11,29722.7
13-09-05 22:00:16,29889.66
13-09-06 15:30:10,29886.91
13-09-06 22:00:16,29936.4
13-09-09 15:30:11,29924.41
13-09-09 22:00:16,29783.36
13-09-10 15:30:11,29781.8
13-09-10 22:00:17,29944.23
13-09-11 15:30:10,29957.43
13-09-11 22:00:16,29833.93
13-09-12 15:30:10,29841.01
13-09-12 22:00:16,29780.41
13-09-13 15:30:10,29840.09
13-09-13 22:00:16,29767.78
13-09-16 15:30:11,29645.69
13-09-16 22:00:16,29757.89
