BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,StrategyParams
2015-11-30 06:53,v1.1-72-gc19995f,ACC_BIP,2009-01-01,2014-12-31,1M,520207,1505,0.12,4.20,27.85,19.02,713,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:54,v1.1-72-gc19995f,ACC_BIP,2009-01-01,2014-12-31,1M,520207,1505,0.60,13.13,108.95,22.65,274,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 06:55,v1.1-72-gc19995f,IHF_USPH,2009-01-01,2014-12-31,1M,140577,1505,0.74,11.61,92.68,7.25,236,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:55,v1.1-72-gc19995f,IHF_USPH,2009-01-01,2014-12-31,1M,140577,1505,1.01,19.72,192.98,21.37,247,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 06:57,v1.1-72-gc19995f,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,0.90,13.23,109.98,10.38,105,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:58,v1.1-72-gc19995f,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,0.83,13.16,109.27,12.48,119,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 06:59,v1.1-72-gc19995f,XRAY_MR,2009-01-01,2014-12-31,1M,544472,1505,0.99,23.07,245.50,17.68,183,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 07:01,v1.1-72-gc19995f,XRAY_MR,2009-01-01,2014-12-31,1M,544472,1505,1.03,24.54,270.90,21.99,181,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 07:02,v1.1-72-gc19995f,RS_WCC,2009-01-01,2014-12-31,1M,528404,1505,0.76,15.94,141.87,15.32,212,"StatArbParams(lookbackWindow=40, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 07:03,v1.1-72-gc19995f,RS_WCC,2009-01-01,2014-12-31,1M,528404,1505,0.91,17.64,163.79,15.14,81,"StatArbParams(lookbackWindow=40, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
