DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
14-03-04 12:12:35,CRH_MLM,29.19,29.52,71,122.51,121.17,-18,46.13,1.11
14-03-05 09:50:10,NX_IR,20.19,19.81,-103,60.98,61.43,33,52.92,1.33
14-03-06 09:34:45,CRH_MLM,28.87,29.07,73,121.43,121.62,-17,10.12,0.27
14-03-07 09:30:05,MSCC_PRGS,22.92,23.97,92,24.27,22.48,-87,251.07,5.98
14-03-07 09:50:45,NX_IR,20.09,20.06,-104,61.14,62.30,33,40.13,1.01
14-03-07 09:52:40,DHR_WAT,76.66,76.99,27,113.33,112.24,-18,27.24,0.69
14-03-10 14:32:30,DHR_WAT,77.20,76.86,-27,112.03,112.66,18,19.32,0.50
14-03-12 09:30:05,PMCS_SPIL,6.37,7.75,-331,5.89,6.58,362,-211.88,-4.89
14-03-12 09:51:30,SSL_APD,53.78,52.47,-39,120.22,119.51,17,37.67,0.94
14-03-12 10:22:20,PNR_DOX,81.80,80.00,-25,44.63,44.78,45,50.44,1.28
14-03-18 12:21:25,PMCS_SPIL,7.72,7.77,276,6.94,6.70,-325,88.53,2.10
14-03-19 11:31:00,CXO_TCP,102.31,117.42,-20,45.50,47.37,44,-221.10,-5.43
14-03-19 14:52:40,SSL_APD,54.27,53.26,-39,120.98,121.50,17,46.81,1.15
14-03-20 10:00:20,PPS_TITN,46.06,48.01,-45,16.30,16.03,124,-121.96,-2.95
14-03-21 09:30:05,PMCS_SPIL,7.71,7.70,-276,6.46,6.71,328,84.72,2.08
14-03-21 14:22:25,DHR_WAT,76.95,75.19,27,113.78,111.29,-18,-4.00,-0.07
14-03-24 12:21:25,SSL_APD,52.36,52.93,40,121.78,121.03,-17,34.38,0.86
14-03-24 15:43:05,IILG_FLY,27.86,26.54,78,15.31,14.96,-139,-54.99,-1.25
14-04-01 09:50:10,IILG_FLY,25.83,26.51,135,14.95,14.99,-236,80.40,1.17
14-04-04 09:37:10,CRH_MLM,28.62,28.70,74,123.21,125.29,-17,-30.84,-0.70
14-04-08 11:00:45,CNX_BHI,40.64,41.31,85,64.51,64.11,-54,77.62,1.14
14-04-09 12:11:25,IILG_FLY,26.60,26.21,-129,14.75,14.80,229,59.43,0.90
14-04-10 09:30:10,PPS_TITN,49.26,50.07,-71,15.70,16.30,217,72.77,1.07
14-04-14 09:53:00,CRH_MLM,29.10,28.67,-119,122.91,126.06,27,135.01,2.01
14-04-15 09:50:20,CXO_TCP,125.51,129.04,27,50.55,50.95,-68,66.67,1.00
14-04-17 10:10:20,NX_IR,20.16,20.01,-105,60.92,57.97,33,-82.91,-1.98
14-04-22 10:10:20,CXO_TCP,130.44,129.95,-24,50.18,51.66,60,99.08,1.63
14-04-23 13:23:05,IILG_FLY,26.26,26.29,-129,14.61,14.83,229,44.04,0.68
14-04-25 13:01:45,MSCC_PRGS,24.03,23.80,-88,22.64,21.64,83,-64.21,-1.58
14-04-25 14:12:20,CXO_TCP,134.87,128.80,-20,51.69,50.92,51,80.73,1.54
14-04-28 10:01:35,CEB_GPX,70.88,69.95,-38,25.74,25.35,102,-5.29,-0.08
14-04-29 14:02:15,CNX_BHI,40.87,44.14,77,65.59,70.21,-48,28.85,0.48
14-05-01 10:33:25,CEB_GPX,65.95,67.94,41,25.71,25.13,-109,144.06,2.64
14-05-02 13:11:50,PPS_TITN,50.09,50.42,69,17.52,17.14,-222,106.98,1.47
14-05-05 10:50:40,CNX_BHI,44.90,44.45,-59,69.44,70.36,37,59.22,1.16
14-05-05 14:15:15,CEB_GPX,67.91,68.07,39,26.04,25.39,-99,69.70,1.36
14-05-06 09:30:05,MSCC_PRGS,23.18,23.64,116,21.88,22.08,-126,27.38,0.53
14-05-07 09:33:10,CXO_TCP,127.78,134.36,21,51.51,51.96,-53,112.79,2.11
14-05-07 14:32:30,CEB_GPX,66.17,65.91,-40,25.01,24.50,108,-45.56,-0.83
14-05-08 09:40:05,IILG_FLY,25.92,24.51,-104,14.34,13.93,186,69.36,1.32
14-05-12 09:32:30,CNX_BHI,43.71,43.99,61,70.87,69.37,-38,72.76,1.38
14-05-13 12:21:25,CXO_TCP,134.31,130.95,-19,50.89,50.98,49,66.81,1.35
14-05-14 10:20:25,CEB_GPX,66.38,66.39,-40,23.97,24.82,108,89.95,1.74
14-05-15 11:00:55,CRH_MLM,28.75,27.06,-94,123.14,117.44,21,38.18,0.75
14-05-20 12:52:30,CRH_MLM,27.10,27.17,99,119.89,116.83,-23,76.32,1.43
14-05-23 09:30:05,MSCC_PRGS,23.96,24.01,113,21.77,21.59,-123,27.41,0.54
14-05-27 10:40:35,EZA_EWH,66.43,69.10,-40,20.21,21.06,129,2.25,0.07
14-05-28 11:20:55,ALKS_MNTA,44.82,45.75,-47,19.73,12.84,103,-754.56,-18.20
14-05-28 14:12:20,PPS_TITN,51.32,51.00,-51,16.21,17.42,158,206.18,4.01
14-05-29 14:52:50,CXO_TCP,129.84,132.90,20,52.43,51.96,-50,83.09,1.62
14-05-29 14:52:55,CNX_BHI,44.82,44.59,-60,69.59,70.85,38,60.35,1.16
14-06-04 09:40:15,SSL_APD,54.69,56.20,-64,121.25,121.27,27,-97.53,-1.42
14-06-06 15:33:00,PNR_DOX,79.31,77.32,26,45.29,48.43,-46,-197.34,-4.73
14-06-11 12:31:30,PMCS_SPIL,7.46,7.69,468,6.62,8.30,-549,-824.38,-11.48
14-06-18 09:30:30,PNR_DOX,75.37,75.48,35,48.59,47.65,-55,54.11,1.04
14-06-18 09:32:40,SSL_APD,57.60,58.97,-45,119.64,129.25,20,129.50,2.62
14-06-18 15:33:00,EZA_EWH,68.16,69.51,39,21.25,21.14,-127,66.03,1.26
14-06-19 09:32:50,CEB_GPX,66.59,67.97,-40,24.28,24.36,109,-47.72,-0.87
14-06-20 12:42:05,CNX_BHI,45.09,47.14,-59,69.91,74.60,37,51.22,1.00
14-06-25 10:30:30,PNR_DOX,75.40,74.02,-35,47.40,47.00,55,24.66,0.49
14-06-25 13:52:10,PMCS_SPIL,7.65,7.53,-345,8.06,8.19,324,76.75,1.55
14-06-26 14:23:40,PNR_DOX,73.89,73.07,-35,46.36,46.43,55,31.65,0.64
