DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
13-09-06 10:50:25,MTW_TEX,21.21,20.50,-69,30.88,30.27,46,19.24,0.67
13-09-18 13:32:00,PMCS_SPIL,6.34,6.60,236,5.71,5.76,-280,44.48,1.44
13-09-19 09:31:55,AMG_CFNL,186.36,188.51,7,17.88,17.91,-74,11.23,0.43
13-09-19 09:50:10,MSCC_PRGS,25.51,25.23,-57,25.69,25.04,54,-20.22,-0.71
13-09-24 14:52:40,NX_IR,19.34,18.88,-82,65.41,66.15,23,53.44,1.73
13-09-26 09:30:15,PMCS_SPIL,6.58,6.69,113,5.76,5.88,-130,-4.64,-0.31
13-09-27 09:30:20,EZA_EWH,62.50,63.53,-23,19.73,20.17,71,5.86,0.21
13-09-27 13:11:50,MYD_BNA,13.54,13.43,-91,9.88,9.95,122,17.14,0.70
13-09-30 10:00:00,DEL_CVCO,63.96,64.29,18,58.35,57.58,-20,20.10,0.87
13-10-02 09:30:20,PMCS_SPIL,6.74,6.68,-284,5.82,5.86,322,30.22,0.80
13-10-03 10:51:25,SSL_APD,48.13,48.29,40,107.66,106.00,-18,34.83,0.90
13-10-04 09:51:10,LH_STE,98.70,100.37,19,43.49,43.52,-43,28.92,0.77
13-10-07 09:30:15,ALKS_MNTA,32.90,32.15,-58,14.51,14.78,123,75.77,2.05
13-10-08 10:20:25,DHR_WAT,69.41,68.44,27,106.05,104.21,-17,3.86,0.10
13-10-08 11:51:10,NX_IR,18.22,18.21,106,65.30,63.18,-30,61.09,1.57
13-10-09 11:51:10,ADSK_RSTI,40.45,39.51,-47,24.36,23.68,76,-9.13,-0.24
13-10-14 11:21:25,PMCS_SPIL,6.66,6.62,289,6.02,5.94,-328,12.69,0.33
13-10-15 10:50:45,MYD_BNA,13.13,13.03,146,9.84,9.70,-196,12.33,0.32
13-10-17 12:01:15,BRKR_ININ,19.82,20.20,97,62.62,61.25,-32,79.30,2.02
13-10-17 15:22:55,ALKS_MNTA,29.86,35.09,64,14.75,16.36,-136,115.07,2.94
13-10-18 09:33:00,CNX_BHI,34.89,38.18,-55,49.38,55.27,36,29.94,0.81
