BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2015-01-03 15:41,v1.1-26-g00323fd,WMT_AMZN,2008-01-01,2013-12-31,1M,585902,1506,-0.39,-2.28,-12.85,33.29,921,60,1.00,0.00,600
2015-01-03 16:03,v1.1-26-g00323fd,WMT_V,2008-01-01,2013-12-31,1M,585902,1506,0.16,6.53,45.94,21.05,475,60,1.00,0.00,600
2015-01-03 16:03,v1.1-26-g00323fd,WMT_CMCSA,2008-01-01,2013-12-31,1M,585926,1506,0.03,4.42,29.53,18.64,496,60,1.00,0.00,600
2015-01-03 16:04,v1.1-26-g00323fd,WMT_DIS,2008-01-01,2013-12-31,1M,585902,1506,-0.28,0.70,4.24,25.40,718,60,1.00,0.00,600
2015-01-03 16:04,v1.1-26-g00323fd,WMT_HD,2008-01-01,2013-12-31,1M,585902,1506,-0.14,2.24,14.15,33.81,982,60,1.00,0.00,600
2015-01-03 16:05,v1.1-26-g00323fd,WMT_MCD,2008-01-01,2013-12-31,1M,585902,1506,0.24,7.12,50.82,20.22,994,60,1.00,0.00,600
2015-01-03 16:05,v1.1-26-g00323fd,WMT_UPS,2008-01-01,2013-12-31,1M,585902,1506,0.09,5.57,38.26,26.42,454,60,1.00,0.00,600
2015-01-03 16:05,v1.1-26-g00323fd,WMT_MA,2008-01-01,2013-12-31,1M,585902,1506,-0.26,-0.22,-1.33,44.53,503,60,1.00,0.00,600
2015-01-03 16:06,v1.1-26-g00323fd,WMT_UNP,2008-01-01,2013-12-31,1M,585902,1506,0.37,22.13,230.35,58.20,267,60,1.00,0.00,600
2015-01-03 16:06,v1.1-26-g00323fd,WMT_CVS,2008-01-01,2013-12-31,1M,585902,1506,0.04,4.29,28.57,27.53,319,60,1.00,0.00,600
2015-01-03 16:06,v1.1-26-g00323fd,WMT_EBAY,2008-01-01,2013-12-31,1M,586000,1506,-0.26,-0.50,-2.96,38.78,1505,60,1.00,0.00,600
2015-01-03 16:07,v1.1-26-g00323fd,WMT_TWX,2008-01-01,2013-12-31,1M,585902,1506,-0.24,-0.08,-0.50,30.40,462,60,1.00,0.00,600
2015-01-03 16:07,v1.1-26-g00323fd,WMT_SBUX,2008-01-01,2013-12-31,1M,585902,1506,-0.56,-6.47,-32.97,40.70,1503,60,1.00,0.00,600
2015-01-03 16:08,v1.1-26-g00323fd,WMT_LOW,2008-01-01,2013-12-31,1M,585902,1506,-0.43,-2.71,-15.16,51.01,773,60,1.00,0.00,600
2015-01-03 16:08,v1.1-26-g00323fd,WMT_COST,2008-01-01,2013-12-31,1M,585902,1506,-0.32,0.75,4.58,25.91,1185,60,1.00,0.00,600
2015-01-03 16:08,v1.1-26-g00323fd,WMT_PCLN,2008-01-01,2013-12-31,1M,585902,1506,-0.66,-9.06,-43.31,48.13,1417,60,1.00,0.00,600
2015-01-03 16:09,v1.1-26-g00323fd,WMT_LVS,2008-01-01,2013-12-31,1M,585902,1506,-0.17,-23.62,-80.01,90.78,1507,60,1.00,0.00,600
2015-01-03 16:10,v1.1-26-g00323fd,WMT_TGT,2008-01-01,2013-12-31,1M,585902,1506,-0.26,0.82,5.00,25.10,941,60,1.00,0.00,600
2015-01-03 16:10,v1.1-26-g00323fd,WMT_CNI,2008-01-01,2013-12-31,1M,585902,1506,0.63,17.53,162.60,21.52,171,60,1.00,0.00,600
2015-01-03 16:11,v1.1-26-g00323fd,WMT_TJX,2008-01-01,2013-12-31,1M,585902,1506,0.42,-100.00,-100.00,101.22,749,60,1.00,0.00,600
2015-01-03 16:11,v1.1-26-g00323fd,WMT_VIAB,2008-01-01,2013-12-31,1M,585902,1506,-0.47,-5.10,-26.86,44.31,1504,60,1.00,0.00,600
2015-01-03 16:12,v1.1-26-g00323fd,WMT_FDX,2008-01-01,2013-12-31,1M,585902,1506,-0.47,-2.28,-12.86,31.24,572,60,1.00,0.00,600
2015-01-03 16:12,v1.1-26-g00323fd,WMT_ASR,2008-01-01,2013-12-31,1M,585902,1506,0.22,7.87,57.23,40.98,589,60,1.00,0.00,600
2015-01-03 16:12,v1.1-26-g00323fd,WMT_DTV,2008-01-01,2013-12-31,1M,585902,1506,0.29,8.54,63.19,18.67,594,60,1.00,0.00,600
2015-01-03 16:13,v1.1-26-g00323fd,WMT_YUM,2008-01-01,2013-12-31,1M,585902,1506,-0.13,2.29,14.51,21.26,599,60,1.00,0.00,600
2015-01-03 16:13,v1.1-26-g00323fd,WMT_LBTYA,2008-01-01,2013-12-31,1M,585902,1506,-0.46,-4.33,-23.26,39.34,1491,60,1.00,0.00,600
2015-01-03 16:14,v1.1-26-g00323fd,WMT_CBS,2008-01-01,2013-12-31,1M,585902,1506,-0.52,-9.12,-43.52,55.04,1501,60,1.00,0.00,600
2015-01-03 16:14,v1.1-26-g00323fd,WMT_TWC,2008-01-01,2013-12-31,1M,585902,1506,-0.47,-8.17,-39.91,47.46,1100,60,1.00,0.00,600
2015-01-03 16:14,v1.1-26-g00323fd,WMT_CUK,2008-01-01,2013-12-31,1M,585902,1506,-0.18,0.84,5.10,26.33,374,60,1.00,0.00,600
2015-01-03 16:15,v1.1-26-g00323fd,WMT_DISCA,2008-01-01,2013-12-31,1M,585902,1506,-0.10,1.49,9.23,30.67,479,60,1.00,0.00,600
2015-01-03 16:15,v1.1-26-g00323fd,WMT_CCL,2008-01-01,2013-12-31,1M,585902,1506,-0.24,0.05,0.29,21.39,421,60,1.00,0.00,600
2015-01-03 16:16,v1.1-26-g00323fd,WMT_MCK,2008-01-01,2013-12-31,1M,585902,1506,-1.14,-12.15,-53.90,56.72,1498,60,1.00,0.00,600
2015-01-03 16:16,v1.1-26-g00323fd,WMT_CSX,2008-01-01,2013-12-31,1M,585902,1506,-0.58,-100.00,-100.00,101.17,493,60,1.00,0.00,600
2015-01-03 16:16,v1.1-26-g00323fd,WMT_LUX,2008-01-01,2013-12-31,1M,585902,1506,-0.30,-1.58,-9.07,35.21,893,60,1.00,0.00,600
2015-01-03 16:17,v1.1-26-g00323fd,WMT_NSC,2008-01-01,2013-12-31,1M,585902,1506,0.07,4.99,33.77,17.30,404,60,1.00,0.00,600
2015-01-03 16:17,v1.1-26-g00323fd,WMT_CP,2008-01-01,2013-12-31,1M,585902,1506,-0.17,0.89,5.43,34.62,546,60,1.00,0.00,600
2015-01-03 16:18,v1.1-26-g00323fd,WMT_DISH,2008-01-01,2013-12-31,1M,585902,1506,-0.30,-7.53,-37.35,59.50,1327,60,1.00,0.00,600
2015-01-03 16:18,v1.1-26-g00323fd,WMT_WFM,2008-01-01,2013-12-31,1M,585902,1506,-0.38,-8.43,-40.92,68.35,1493,60,1.00,0.00,600
2015-01-03 16:18,v1.1-26-g00323fd,WMT_KR,2008-01-01,2013-12-31,1M,585902,1506,-0.37,-0.54,-3.17,33.77,593,60,1.00,0.00,600
2015-01-03 16:19,v1.1-26-g00323fd,WMT_GPS,2008-01-01,2013-12-31,1M,585902,1506,-0.59,-5.33,-27.93,41.89,1446,60,1.00,0.00,600
2015-01-03 16:19,v1.1-26-g00323fd,WMT_SYY,2008-01-01,2013-12-31,1M,585902,1506,0.13,6.11,42.54,22.03,1150,60,1.00,0.00,600
2015-01-03 16:20,v1.1-26-g00323fd,WMT_GWW,2008-01-01,2013-12-31,1M,585902,1506,0.44,10.24,79.06,17.85,200,60,1.00,0.00,600
2015-01-03 16:20,v1.1-26-g00323fd,WMT_CAH,2008-01-01,2013-12-31,1M,585902,1506,-0.22,0.64,3.88,36.29,895,60,1.00,0.00,600
2015-01-03 16:21,v1.1-26-g00323fd,WMT_NFLX,2008-01-01,2013-12-31,1M,585902,1506,-0.08,-100.00,-100.00,100.24,1190,60,1.00,0.00,600
2015-01-03 16:21,v1.1-26-g00323fd,WMT_M,2008-01-01,2013-12-31,1M,585902,1506,-0.27,-2.95,-16.39,39.83,1486,60,1.00,0.00,600
2015-01-03 16:21,v1.1-26-g00323fd,WMT_DAL,2008-01-01,2013-12-31,1M,585902,1506,0.07,3.78,24.81,43.41,748,60,1.00,0.00,600
2015-01-03 16:23,v1.1-26-g00323fd,WMT_PSO,2008-01-01,2013-12-31,1M,585902,1506,0.29,8.83,65.83,36.92,1246,60,1.00,0.00,600
2015-01-03 16:23,v1.1-26-g00323fd,WMT_BBBY,2008-01-01,2013-12-31,1M,585902,1506,0.53,12.41,101.16,25.26,370,60,1.00,0.00,600
2015-01-03 16:23,v1.1-26-g00323fd,WMT_OMC,2008-01-01,2013-12-31,1M,585902,1506,-0.53,-3.01,-16.67,26.93,1500,60,1.00,0.00,600
2015-01-03 16:24,v1.1-26-g00323fd,WMT_TYC,2008-01-01,2013-12-31,1M,585902,1506,0.24,8.63,63.99,61.18,1253,60,1.00,0.00,600
2015-01-03 16:24,v1.1-26-g00323fd,WMT_MPEL,2008-01-01,2013-12-31,1M,585902,1506,-0.57,-20.70,-75.00,78.83,1487,60,1.00,0.00,600
2015-01-03 16:25,v1.1-26-g00323fd,WMT_AZO,2008-01-01,2013-12-31,1M,585902,1506,0.21,6.97,49.58,17.46,457,60,1.00,0.00,600
2015-01-03 16:25,v1.1-26-g00323fd,WMT_TV,2008-01-01,2013-12-31,1M,585902,1506,-0.34,-1.52,-8.76,21.07,468,60,1.00,0.00,600
2015-01-03 16:25,v1.1-26-g00323fd,WMT_RUK,2008-01-01,2013-12-31,1M,585902,1506,0.44,10.99,86.50,22.03,529,60,1.00,0.00,600
2015-01-03 16:26,v1.1-26-g00323fd,WMT_ROST,2008-01-01,2013-12-31,1M,585902,1506,0.37,-100.00,-100.00,101.93,330,60,1.00,0.00,600
2015-01-03 16:26,v1.1-26-g00323fd,WMT_WYNN,2008-01-01,2013-12-31,1M,585902,1506,-0.52,-100.00,-100.00,101.15,371,60,1.00,0.00,600
2015-01-03 16:26,v1.1-26-g00323fd,WMT_MCO,2008-01-01,2013-12-31,1M,585902,1506,-0.30,-2.82,-15.73,36.34,1324,60,1.00,0.00,600
