BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-12-19 17:31,v1.1-9-g55fca08,THC_STE,2008-01-01,2013-12-31,1M,579720,1506,0.61,10.62,82.82,94.93,1495,60,1.00,0.00,600
2014-12-19 17:32,v1.1-9-g55fca08,THC_HNT,2008-01-01,2013-12-31,1M,579720,1506,0.55,25.00,279.43,46.69,754,60,1.00,0.00,600
2014-12-20 09:54,v1.1-9-g55fca08,THC_MASI,2008-01-01,2013-12-31,1M,579720,1506,0.40,16.18,144.99,58.26,493,60,1.00,0.00,600
2014-12-20 09:54,v1.1-9-g55fca08,THC_NKTR,2008-01-01,2013-12-31,1M,579720,1506,-0.49,-100.00,-100.00,104.19,239,60,1.00,0.00,600
2014-12-20 17:48,v1.1-9-g55fca08,THC_GTIV,2008-01-01,2013-12-31,1M,579720,1506,0.41,-100.00,-100.00,103.02,131,60,1.00,0.00,600
2014-12-20 17:48,v1.1-9-g55fca08,THC_USPH,2008-01-01,2013-12-31,1M,579720,1506,0.47,-100.00,-100.00,101.60,624,60,1.00,0.00,600
2014-12-20 17:48,v1.1-9-g55fca08,THC_PHMD,2008-01-01,2013-12-31,1M,579720,1506,-0.48,-100.00,-100.00,173.63,251,60,1.00,0.00,600
2014-12-21 10:50,v1.1-9-g55fca08,MDVN_OFIX,2008-01-01,2013-12-31,1M,464519,1506,0.30,-100.00,-100.00,116.42,1048,60,1.00,0.00,600
2014-12-21 10:50,v1.1-9-g55fca08,MDVN_CBM,2008-01-01,2013-12-31,1M,464519,1506,0.33,-100.00,-100.00,109.71,966,60,1.00,0.00,600
2014-12-21 10:50,v1.1-9-g55fca08,MDVN_TRIB,2008-01-01,2013-12-31,1M,464519,1506,0.30,-100.00,-100.00,102.18,936,60,1.00,0.00,600
2014-12-21 10:51,v1.1-9-g55fca08,MDVN_LHCG,2008-01-01,2013-12-31,1M,464519,1506,0.15,-100.00,-100.00,123.42,470,60,1.00,0.00,600
2014-12-22 15:37,v1.1-9-g55fca08,ENDP_CBST,2008-01-01,2013-12-31,1M,562632,1506,-0.08,0.74,4.53,40.12,870,60,1.00,0.00,600
2014-12-22 15:37,v1.1-9-g55fca08,ENDP_SLXP,2008-01-01,2013-12-31,1M,562632,1506,0.04,-0.21,-1.28,68.96,1113,60,1.00,0.00,600
