BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-12-06 14:08,v1.0-238-ge66b963,AER_GVA,2008-01-01,2013-12-31,1M,460829,1506,0.05,1.02,6.24,60.56,1286,60,1.00,0.00,600
2014-12-06 14:08,v1.0-238-ge66b963,AER_ORB,2008-01-01,2013-12-31,1M,441159,1506,0.05,0.51,3.07,58.68,1053,60,1.00,0.00,600
2014-12-06 14:08,v1.0-238-ge66b963,AER_CIR,2008-01-01,2013-12-31,1M,421633,1506,0.42,14.29,122.21,47.05,736,60,1.00,0.00,600
2014-12-06 14:09,v1.0-238-ge66b963,AER_AIN,2008-01-01,2013-12-31,1M,421633,1506,0.39,12.83,105.73,41.61,393,60,1.00,0.00,600
2014-12-06 14:09,v1.0-238-ge66b963,AER_MATW,2008-01-01,2013-12-31,1M,421633,1506,-0.02,-1.78,-10.18,45.75,955,60,1.00,0.00,600
2014-12-06 14:09,v1.0-238-ge66b963,AER_RGR,2008-01-01,2013-12-31,1M,421633,1506,-0.08,-10.93,-49.94,78.89,1670,60,1.00,0.00,600
2014-12-06 14:09,v1.0-238-ge66b963,AER_LNN,2008-01-01,2013-12-31,1M,421633,1506,0.06,-3.55,-19.43,59.57,1017,60,1.00,0.00,600
2014-12-06 14:10,v1.0-238-ge66b963,AER_AIR,2008-01-01,2013-12-31,1M,444732,1506,-0.23,-7.99,-39.21,55.95,1591,60,1.00,0.00,600
2014-12-06 14:10,v1.0-238-ge66b963,AER_TNC,2008-01-01,2013-12-31,1M,421633,1506,0.26,7.99,58.33,35.68,361,60,1.00,0.00,600
2014-12-06 14:10,v1.0-238-ge66b963,AER_KAMN,2008-01-01,2013-12-31,1M,421633,1506,0.05,1.52,9.44,39.75,614,60,1.00,0.00,600
2014-12-06 14:11,v1.0-238-ge66b963,AER_CCC,2008-01-01,2013-12-31,1M,468556,1506,0.02,-1.54,-8.84,64.92,1359,60,1.00,0.00,600
2014-12-06 14:11,v1.0-238-ge66b963,AER_AZZ,2008-01-01,2013-12-31,1M,421633,1506,0.18,-100.00,-100.00,110.03,766,60,1.00,0.00,600
2014-12-07 02:17,v1.0-238-ge66b963,PRIM_MHO,2008-01-01,2013-12-31,1M,370595,1506,-0.04,-3.31,-18.22,64.02,1395,60,1.00,0.00,600
2014-12-07 02:35,v1.0-238-ge66b963,PRIM_DAKT,2008-01-01,2013-12-31,1M,344918,1506,0.21,4.22,28.00,68.81,1190,60,1.00,0.00,600
2014-12-07 02:53,v1.0-238-ge66b963,PRIM_NC,2008-01-01,2013-12-31,1M,192170,1506,0.39,11.88,95.62,80.25,1424,60,1.00,0.00,600
2014-12-07 03:12,v1.0-238-ge66b963,PRIM_UFI,2008-01-01,2013-12-31,1M,229596,1506,-0.04,-1.66,-9.52,58.77,1253,60,1.00,0.00,600
2014-12-07 03:30,v1.0-238-ge66b963,PRIM_BZH,2008-01-01,2013-12-31,1M,538177,1506,-0.04,-7.67,-37.91,77.61,1289,60,1.00,0.00,600
2014-12-07 03:48,v1.0-238-ge66b963,PRIM_CMCO,2008-01-01,2013-12-31,1M,262321,1506,0.29,9.70,73.85,41.47,1099,60,1.00,0.00,600
2014-12-07 04:08,v1.0-238-ge66b963,PRIM_MTRX,2008-01-01,2013-12-31,1M,329582,1506,0.05,1.84,11.50,48.04,946,60,1.00,0.00,600
2014-12-07 04:28,v1.0-238-ge66b963,PRIM_GLDD,2008-01-01,2013-12-31,1M,378742,1506,0.49,17.78,165.95,41.01,599,60,1.00,0.00,600
2014-12-07 04:47,v1.0-238-ge66b963,PRIM_CAS,2008-01-01,2013-12-31,1M,305710,1506,0.15,4.61,30.89,39.80,975,60,1.00,0.00,600
2014-12-07 05:06,v1.0-238-ge66b963,PRIM_LAYN,2008-01-01,2013-12-31,1M,331884,1506,-0.00,1.29,7.95,58.82,932,60,1.00,0.00,600
2014-12-07 05:29,v1.0-238-ge66b963,PRIM_KAI,2008-01-01,2013-12-31,1M,203530,1506,0.50,17.12,157.16,34.88,598,60,1.00,0.00,600
2014-12-07 05:48,v1.0-238-ge66b963,PRIM_GHM,2008-01-01,2013-12-31,1M,215075,1506,0.69,27.96,336.38,39.10,415,60,1.00,0.00,600
2014-12-07 06:06,v1.0-238-ge66b963,PRIM_ESIO,2008-01-01,2013-12-31,1M,267796,1506,0.11,3.68,24.14,33.16,594,60,1.00,0.00,600
2014-12-07 06:15,v1.0-238-ge66b963,PRIM_GLPW,2008-01-01,2013-12-31,1M,192170,1458,0.40,15.16,126.30,29.37,653,60,1.00,0.00,600
2014-12-07 06:34,v1.0-238-ge66b963,PRIM_BOOM,2008-01-01,2013-12-31,1M,277758,1506,-0.08,-1.92,-10.94,43.53,1344,60,1.00,0.00,600
2014-12-07 06:52,v1.0-238-ge66b963,PRIM_DCO,2008-01-01,2013-12-31,1M,218174,1506,0.10,4.28,28.45,51.19,1465,60,1.00,0.00,600
